compound_id,canonical_name,synonyms,compound_class,source_type,parent_scaffold,smiles_raw,smiles_canonical,inchikey,stereochemistry_status,structure_confidence,sugar_identity,galactose_present,spiroketal_status,long_acyl_chain_type,long_acyl_chain_length,long_acyl_double_bonds,long_acyl_geometry,short_acyl_chain_type,modification_site,modification_summary,mw_exact,clogp,tpsa,hbd,hba,rotb,fsp3,formal_charge,reference_id,source_table_or_figure,curation_status,notes
PAPU-0031,Papulacandin B 12-OCH2CH3 derivative,5b,papulacandin_derivative,semisynthetic,PapB,,CCOc1cc(O)c2c(c1)CO[C@]21O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@H]1O,GRZKEDZVNOSGMY-NVYAVNKESA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-ethyl ether,928.4457,3.5054,260.5900,8,17,23,0.5510,0,PAPER-1987-TRAXLER,Table 1 compound 5b,curated,"NO.4 paper compound 5b. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0033,Papulacandin B 12-OCH2CH2CH2I derivative,5d,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCCCI)cc(O)c32)[C@@H]1O,GTGAZTTTXXFPOW-PQFQBCJKSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-3-iodopropyl ether,1068.3579,4.3106,260.5900,8,17,25,0.5600,0,PAPER-1987-TRAXLER,Table 1 compound 5d,curated,"NO.4 paper compound 5d. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0034,Papulacandin B 12-p-nitrobenzyl ether,5e,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCc4ccc([N+](=O)[O-])cc4)cc(O)c32)[C@@H]1O,SPYFZHZPJNLYKH-AIRWWKTKSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-p-nitrobenzyl ether,1035.4464,4.5939,303.7300,8,19,25,0.4815,0,PAPER-1987-TRAXLER,Table 1 compound 5e,curated,"NO.4 paper compound 5e. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0035,Papulacandin B 12-OCH2COCH3 derivative,5f,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(C)=O)cc(O)c32)[C@@H]1O,CRALOOKZIZMWPF-FLNJSBIXSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-OCH2COCH3 aromatic ether,956.4406,3.0745,277.6600,8,18,24,0.5400,0,PAPER-1987-TRAXLER,Table 1 compound 5f,curated,"NO.4 paper compound 5f. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0036,Papulacandin B 12-OCH2COOCH3 derivative,5h,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(=O)OC)cc(O)c32)[C@@H]1O,CMAFAPCOYNZSLT-MVMZPCNYSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,12O,12-OCH2COOCH3 aromatic ether,972.4355,2.6585,286.8900,8,19,24,0.5400,0,PAPER-1987-TRAXLER,Table 1 compound 5h,curated,"NO.4 paper compound 5h. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0038,"Papulacandin B 10,12-di-OCH2CH2CH2I derivative",6d,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCCCI)cc(OCCCI)c32)[C@@H]1O,DLLUGXKGLSBOHZ-LTXTWOHDSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-3-iodopropyl ether",1236.3015,5.8089,249.5900,7,17,29,0.5849,0,PAPER-1987-TRAXLER,Table 1 compound 6d,curated,"NO.4 paper compound 6d. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0039,"Papulacandin B 10,12-di-p-nitrobenzyl ether",6e,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCc4ccc([N+](=O)[O-])cc4)cc(OCc4ccc([N+](=O)[O-])cc4)c32)[C@@H]1O,QFHKWCJKBHHRGW-IYFVDBMSSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-p-nitrobenzyl ether",1170.4784,6.3755,335.8700,7,21,29,0.4426,0,PAPER-1987-TRAXLER,Table 1 compound 6e,curated,"NO.4 paper compound 6e. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0040,"Papulacandin B 10,12-di-OCH2COCH3 derivative",6f,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(C)=O)cc(OCC(C)=O)c32)[C@@H]1O,BHGFENWNGDRXII-UNISEKFDSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-OCH2COCH3 aromatic ether",1012.4668,3.3367,283.7300,7,19,27,0.5472,0,PAPER-1987-TRAXLER,Table 1 compound 6f,curated,"NO.4 paper compound 6f. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0041,"Papulacandin B 10,12-di-OCH2COOH derivative",6g,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(=O)O)cc(OCC(=O)O)c32)[C@@H]1O,YJPUKCKJQHFFQZ-SLSWPZKPSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-OCH2COOH aromatic ether",1016.4253,2.3279,324.1900,9,19,27,0.5294,0,PAPER-1987-TRAXLER,Table 1 compound 6g,curated,"NO.4 paper compound 6g. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0042,"Papulacandin B 10,12-di-OCH2COOCH3 derivative",6h,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OCC(=O)OC)cc(OCC(=O)OC)c32)[C@@H]1O,UUAPLMJBFPOPBY-CXLIYYRJSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"10,12-di-OCH2COOCH3 aromatic ether",1044.4566,2.5047,302.1900,7,21,27,0.5472,0,PAPER-1987-TRAXLER,Table 1 compound 6h,curated,"NO.4 paper compound 6h. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0043,Papulacandin B 10-OCH3 derivative,8a,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OC)c32)[C@@H]1O,YNNHLMNEARRYTN-HGPFSZJQSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-methyl ether,914.4300,3.1153,260.5900,8,17,22,0.5417,0,PAPER-1987-TRAXLER,Table 1 compound 8a,curated,"NO.4 paper compound 8a. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0044,Papulacandin B 10-OCH2COOCH2CH3 derivative,8i,papulacandin_derivative,semisynthetic,PapB,,CCOC(=O)COc1cc(O)cc2c1[C@]1(OC2)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@H]1O,VQAGJKKVFZBMHD-ZLZWBNOBSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2COOCH2CH3 aromatic ether,986.4511,3.0486,286.8900,8,19,25,0.5490,0,PAPER-1987-TRAXLER,Table 1 compound 8i,curated,"NO.4 paper compound 8i. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0045,Papulacandin B 10-OCH2CONH2 derivative,8l,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(N)=O)c32)[C@@H]1O,LJYCXBMTDNEXRP-UYSSCJBSSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2CONH2 aromatic ether,957.4358,1.9708,303.6800,9,18,24,0.5306,0,PAPER-1987-TRAXLER,Table 1 compound 8l,curated,"NO.4 paper compound 8l. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0046,Papulacandin B 10-OCH2CONHCH3 derivative,8m,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)NC)c32)[C@@H]1O,QOTCKWSUSMXHNE-MVMZPCNYSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2CONHCH3 aromatic ether,971.4515,2.2315,289.6900,9,18,24,0.5400,0,PAPER-1987-TRAXLER,Table 1 compound 8m,curated,"NO.4 paper compound 8m. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0047,Papulacandin B 10-OCH2CON(CH3)2 derivative,8n,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)N(C)C)c32)[C@@H]1O,PCFJSCJFIOKHGZ-ZLZWBNOBSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2CON(CH3)2 aromatic ether,985.4671,2.5737,280.9000,8,18,24,0.5490,0,PAPER-1987-TRAXLER,Table 1 compound 8n,curated,"NO.4 paper compound 8n. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0048,Papulacandin B 10-OCH2CO-thienyl derivative,8o,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)cc(OCC(=O)c4cccs4)c32)[C@@H]1O,ASUJAVNHORIRSE-XDMPRGHHSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,10O,10-OCH2CO-thienyl aromatic ether,1024.4126,4.4299,277.6600,8,19,25,0.4906,0,PAPER-1987-TRAXLER,Table 1 compound 8o,curated,"NO.4 paper compound 8o. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0049,"Papulacandin B 11,13-dimorpholinomethylene derivative",9,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3c(CN4CCOCC4)c(O)c(CN4CCOCC4)c(O)c32)[C@@H]1O,ULQNASHRJILJOL-AAGSLDRCSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,"11,13-dimorpholinomethylene substitution",1098.5512,2.4767,296.5300,9,21,25,0.6140,0,PAPER-1987-TRAXLER,Table 2 compound 9,curated,"NO.4 paper compound 9. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0050,Papulacandin B 11-dimethylaminomethylene 12-OCH3 derivative,10a,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(OC)c(CN(C)C)c(O)c32)[C@@H]1O,QSLYJYYTPNHICS-TYXDNYFMSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,11-dimethylaminomethylene plus 12-OCH3,971.4878,3.1769,263.8300,8,18,24,0.5686,0,PAPER-1987-TRAXLER,Table 2 compound 10a,curated,"NO.4 paper compound 10a. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0051,Papulacandin B 11-morpholinomethylene derivative,11a,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(CN4CCOCC4)c(O)c32)[C@@H]1O,PJCMCWCIJWEOMU-WRLNZLQUSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-morpholinomethylene substitution,999.4828,2.6445,284.0600,9,19,23,0.5769,0,PAPER-1987-TRAXLER,Table 2 compound 11a,curated,"NO.4 paper compound 11a. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0052,Papulacandin B 11-piperidinomethylene derivative,11b,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(CN4CCCCC4)c(O)c32)[C@@H]1O,IIGFHVBVHOYGLW-YCEIPGODSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-piperidinomethylene substitution,997.5035,3.7982,274.8300,9,18,23,0.5849,0,PAPER-1987-TRAXLER,Table 2 compound 11b,curated,"NO.4 paper compound 11b. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0053,Papulacandin B 11-NH2 10-OCH3 derivative,13c,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(N)c(OC)c32)[C@@H]1O,WETHDKZFOJJHHC-JDEZRRCZSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,multiple,11-NH2 plus 10-OCH3,929.4409,2.6975,286.6100,9,18,22,0.5417,0,PAPER-1987-TRAXLER,Table 3 compound 13c,curated,"NO.4 paper compound 13c. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0054,Papulacandin B 11-NHSO2CH3 derivative,15b,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(NS(C)(=O)=O)c(O)c32)[C@@H]1O,CUASKCVETHFNOQ-VZMKDOLGSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-mesylamino substitution,993.4028,2.1838,317.7600,10,19,23,0.5417,0,PAPER-1987-TRAXLER,Table 3 compound 15b,curated,"NO.4 paper compound 15b. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0055,Papulacandin B 11-amino-imidazolidone derivative,15c,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@]2(OCc3cc(O)c(NC(=O)N4CCNC4=O)c(O)c32)[C@@H]1O,XNJHYVRWMYFOQU-GBMXYIIPSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,11N,11-amino-(1-carboxamido-2-oxoimidazolinyl) substitution,1027.4525,2.3694,333.0300,11,19,22,0.5294,0,PAPER-1987-TRAXLER,Table 3 compound 15c,curated,"NO.4 paper compound 15c. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0056,Papulacandin B 6-tosyl derivative,16,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](COS(=O)(=O)c2ccc(C)cc2)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,WONDLYAZKBEKAS-ZMAWGXDQSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-tosyl intermediate,1054.4232,4.5339,294.7300,8,19,24,0.4815,0,PAPER-1987-TRAXLER,Table 4 compound 16,curated,"NO.4 paper compound 16. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0057,Papulacandin B 6-azido derivative,17a,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CN=[N+]=[N-])O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,RRMAOVVVIFVDTO-RBFGFFHTSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-dehydroxy-6-azido substitution,925.4208,4.1303,300.1200,8,17,22,0.5319,0,PAPER-1987-TRAXLER,Table 4 compound 17a,curated,"NO.4 paper compound 17a. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0058,Papulacandin B 6-N-methylpiperazinyl derivative,17e,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CN2CCN(C)CC2)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,GYKKYMQBXFIIJH-ISKWWFCUSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-dehydroxy-6-N-methylpiperazinyl substitution,982.5038,3.0674,257.8400,8,18,22,0.5769,0,PAPER-1987-TRAXLER,Table 4 compound 17e,curated,"NO.4 paper compound 17e. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0059,Papulacandin B 6-N-formylpiperazinyl derivative,17f,papulacandin_derivative,semisynthetic,PapB,,[H]C(=O)N1CCN(C[C@H]2O[C@]3(OCc4cc(O)cc(O)c43)[C@H](O)[C@@H](OC(=O)/C=C/C=C/C[C@H](O)/C(C)=C/C=C/CC[C@@H](C)CC)[C@@H]2O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)CC1,VJEIQIDYYLBYPY-FVAMNEIMSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-dehydroxy-6-N-formylpiperazinyl substitution,996.4831,2.5940,274.9100,8,18,22,0.5577,0,PAPER-1987-TRAXLER,Table 4 compound 17f,curated,"NO.4 paper compound 17f. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0060,Papulacandin B 6-N-methylthiotetrazolinyl derivative,17g,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CSc2nnnn2C)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,KTOQLEREHKFDPO-GDLHLONDSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-dehydroxy-6-N-methylthiotetrazolinyl substitution,998.4195,3.1358,294.9600,8,20,23,0.5306,0,PAPER-1987-TRAXLER,Table 4 compound 17g,curated,"NO.4 paper compound 17g. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0061,Papulacandin B 6-acetyl derivative,18a,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](COC(C)=O)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,NOEBTTRNWQLNHH-YSNOWZEGSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-acetyl ester,942.4249,3.3831,277.6600,8,18,22,0.5306,0,PAPER-1987-TRAXLER,Table 4 compound 18a,curated,"NO.4 paper compound 18a. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
PAPU-0062,Papulacandin B 6-succinyl derivative,18b,papulacandin_derivative,semisynthetic,PapB,,CC[C@H](C)CC/C=C/C=C(\C)[C@@H](O)C/C=C/C=C/C(=O)O[C@H]1[C@H](O[C@@H]2O[C@H](COC(=O)/C=C/C=C\C=C\[C@H](O)CC)[C@H](O)[C@H](O)[C@H]2O)[C@@H](COC(=O)CCC(=O)O)O[C@]2(OCc3cc(O)cc(O)c32)[C@@H]1O,QXVQXCBXLDYXQJ-SLSWPZKPSA-N,complete,medium,glucose;galactose,TRUE,intact,C16 unsaturated fatty acid residue,16,,,C10 unsaturated fatty acid residue,glucose6,6-succinyl ester,1000.4304,3.2280,314.9600,9,19,25,0.5294,0,PAPER-1987-TRAXLER,Table 4 compound 18b,curated,"NO.4 paper compound 18b. RDKit canonical SMILES, InChIKey, and descriptors generated from curated SDF on 2026-06-10."
