route_id,compound_id,route_type,starting_material,number_of_steps,key_reaction,reported_yield_percent,protecting_group_burden,purification_difficulty,scalability,route_confidence,chemist_review_status,reference_id,route_file,notes
ROUTE-2015-DESOUZA-008,PAPU-0113,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",27,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 13 in 27% yield. Compound class/stage: protected mono-palmitoyl neoglycolipid intermediate.
ROUTE-2015-DESOUZA-009,PAPU-0114,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",13,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 14 in 13% yield. Compound class/stage: protected di-palmitoyl neoglycolipid intermediate.
ROUTE-2015-DESOUZA-010,PAPU-0115,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",24,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 15 in 24% yield. Compound class/stage: protected mono-palmitoyl neoglycolipid intermediate.
ROUTE-2015-DESOUZA-011,PAPU-0116,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",40,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 16 in 40% yield. Compound class/stage: protected mono-palmitoyl neoglycolipid intermediate.
ROUTE-2015-DESOUZA-012,PAPU-0117,synthetic_intermediate,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"DCC/DMAP palmitoylation of benzylidene acetal followed by chromatographic separation of O-2, O-3, and O-2/O-3 acyl isomers",18,moderate,high,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 17 in 18% yield. Compound class/stage: protected di-palmitoyl neoglycolipid intermediate.
ROUTE-2015-DESOUZA-013,PAPU-0118,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",92,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 18 in 92% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2015-DESOUZA-014,PAPU-0119,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",88,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 19 in 88% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2015-DESOUZA-015,PAPU-0120,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",83,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 20 in 83% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2015-DESOUZA-016,PAPU-0121,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",86,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 21 in 86% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2015-DESOUZA-017,PAPU-0122,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",89,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 22 in 89% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2015-DESOUZA-018,PAPU-0123,total_synthesis,4-hydroxy-3-methoxybenzaldehyde or 3-hydroxybenzaldehyde; peracetylated glucosyl bromide 5; palmitic acid when acylated,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford deprotected neoglycolipid",72,moderate,medium,short inexpensive aryl glycoside route; chromatographic separation required for palmitoylated regioisomers,high,needs_review,PAPER-2015-DESOUZA,,Paper reports compound 23 in 72% yield. Compound class/stage: papulacandin D related neoglycolipid final analogue.
ROUTE-2018-SAKAI-001,PAPU-0124,fermentation_isolation,Pestalotiopsis humus FKI-7473 static rice culture; 20 Ulpack 47 bags with 500 g water-sodden rice each,not applicable,14-day static fermentation at 27 C; acetone extraction; EtOAc partition; silica gel chromatography; ODS chromatography; preparative HPLC,,none,high,20 solid rice culture bags; 21.5 mg purified pestiocandin from 50 g crude extract,high,needs_review,PAPER-2018-SAKAI,,Seed culture grown 4 days at 27 C; production culture static 14 days on water-sodden rice. Final preparative HPLC peak from 80 to 84 min yielded 21.5 mg yellow oil.
ROUTE-2020-BRETAS-001,PAPU-0125,total_synthesis,"2,3,4,6-tetra-acetyl-D-glucopyranose; 4-hydroxy-3-methoxybenzaldehyde; 4-hydroxybenzaldehyde; 3-aminobenzoic acid",multi-step,"glycosylation to aryl beta-glucoside; deacetylation; 4,6-O-benzylidene protection; EDAC/DMAP ester coupling with acid 14; HCl/acetone deprotection",70,moderate,medium,compound 8 isolated in 23% yield; final deprotection gave compound 1 in 70% yield (61 mg reported),high,needs_review,PAPER-2020-BRETAS,,"Final step removes the 4,6-O-benzylidene protecting group with concentrated HCl in acetone. Side product 2,3-diester was observed during the coupling step."
ROUTE-2020-BRETAS-002,PAPU-0126,total_synthesis,"2,3,4,6-tetra-acetyl-D-glucopyranose; 4-hydroxy-3-methoxybenzaldehyde; 3-hydroxybenzaldehyde; 3-aminobenzoic acid",multi-step,"glycosylation to aryl beta-glucoside; deacetylation; 4,6-O-benzylidene protection; EDAC/DMAP ester coupling with acid 15; HCl/acetone deprotection and chromatography",22,moderate,high,compound 9 formed as inseparable mixture with undesired diester; deprotected product 2 isolated in 22% yield (35 mg reported),high,needs_review,PAPER-2020-BRETAS,,The protected precursor 9 was not separated from the undesired diester before deprotection; final chromatography afforded compound 2.
ROUTE-2024-LU-001,PAPU-0127,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,100 mg purified pestiorosin A from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-002,PAPU-0128,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,8 mg purified pestiorosin B from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-003,PAPU-0129,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,14 mg purified pestiorosin C from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-004,PAPU-0130,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,23 mg purified pestiorosin D from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-005,PAPU-0131,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,44 mg purified pestiorosin E from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-006,PAPU-0132,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,17 mg purified pestiorosin F from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2024-LU-007,PAPU-0124,fermentation_isolation,Pestalotiopsis rosea/roesa YNJ21 isolated from Amanita exitialis fruitbody collected in Yunnan; GenBank PP837708,not applicable,"PDA seed culture at 28 C for 5 days; liquid fermentation at 28 C for 14 days; acetone/EtOAc extraction; silica gel, ODS, and preparative HPLC purification",,none,high,204 mg purified pestiocandin from 76.5 g crude extract fraction Fr7-6,high,needs_review,PAPER-2024-LU,,"The article title uses Pestalotiopsis rosea, while parts of the text use P. roesa; treat this as a source spelling issue for manual review."
ROUTE-2026-AGUDELORESTREPO-001,PAPU-0133,fermentation_isolation,"Garciamycella chlamydospora CBS 150388 ex-type strain isolated from garden soil in Rotterdam, Netherlands",not applicable,"YM agar culture at 23 C; SMYA seed culture 7 days at 23 C; 40 Erlenmeyer flasks with BRFT brown rice solid medium incubated 14 days at 23 C in darkness; acetone extraction, EtOAc partition, flash chromatography, and preparative C18 HPLC",,none,high,"Crude extract 1.4 g from solid rice culture; 0.53 mg Papulacandin G from fraction F8 (128 mg), preparative HPLC tR 75.0-76.0 min",high,needs_review,PAPER-2026-AGUDELORESTREPO,,"Natural-product isolation route; compound 1 was newly described, while compounds 2 and 3 were known papulacandins re-isolated from the new species."
ROUTE-2026-AGUDELORESTREPO-002,PAPU-0065,fermentation_isolation,"Garciamycella chlamydospora CBS 150388 ex-type strain isolated from garden soil in Rotterdam, Netherlands",not applicable,"YM agar culture at 23 C; SMYA seed culture 7 days at 23 C; 40 Erlenmeyer flasks with BRFT brown rice solid medium incubated 14 days at 23 C in darkness; acetone extraction, EtOAc partition, flash chromatography, and preparative C18 HPLC",,none,high,"Crude extract 1.4 g from solid rice culture; 3.3 mg Mer-WF3010 from fraction F8 (128 mg), preparative HPLC tR 70.0-72.0 min",high,needs_review,PAPER-2026-AGUDELORESTREPO,,"Natural-product isolation route; compound 1 was newly described, while compounds 2 and 3 were known papulacandins re-isolated from the new species."
ROUTE-2026-AGUDELORESTREPO-003,PAPU-0004,fermentation_isolation,"Garciamycella chlamydospora CBS 150388 ex-type strain isolated from garden soil in Rotterdam, Netherlands",not applicable,"YM agar culture at 23 C; SMYA seed culture 7 days at 23 C; 40 Erlenmeyer flasks with BRFT brown rice solid medium incubated 14 days at 23 C in darkness; acetone extraction, EtOAc partition, flash chromatography, and preparative C18 HPLC",,none,high,"Crude extract 1.4 g from solid rice culture; 1.04 mg Papulacandin D from fraction F8 (128 mg), preparative HPLC tR 67.3-68.0 min",high,needs_review,PAPER-2026-AGUDELORESTREPO,,"Natural-product isolation route; compound 1 was newly described, while compounds 2 and 3 were known papulacandins re-isolated from the new species."
ROUTE-2025-WU-001,PAPU-0134,fermentation_isolation,"Co-culture of Pestalotiopsis sp. J025 (GDMCC No. 62822; GenBank MZ326588) and Nigrospora sp. Wn-2-2 (SYSUSZ No. 200901; GenBank MZ326589) isolated from Wikstroemia/Webera nutans stems collected in Guangxi, China",not applicable,"PDA seed cultures 7 days at 30 C; PDB seed cultures 4 days at 30 C and 210 rpm; co-culture fermentation in 16 x 1.5 L PDB for 10 days at 30 C and 210 rpm; EtOAc extraction, Sephadex LH-20, preparative and semipreparative RP-HPLC",,none,high,"4.0 g EtOAc extract from 24 L co-culture broth; 5.0 mg Papulacandin F from fraction F.3A, semipreparative HPLC tR 7.5 min",high,needs_review,PAPER-2025-WU,,Natural-product co-culture route. The paper reports richer metabolite profiles in co-culture than in either single-culture control.
ROUTE-2025-WU-002,PAPU-0135,fermentation_isolation,"Co-culture of Pestalotiopsis sp. J025 (GDMCC No. 62822; GenBank MZ326588) and Nigrospora sp. Wn-2-2 (SYSUSZ No. 200901; GenBank MZ326589) isolated from Wikstroemia/Webera nutans stems collected in Guangxi, China",not applicable,"PDA seed cultures 7 days at 30 C; PDB seed cultures 4 days at 30 C and 210 rpm; co-culture fermentation in 16 x 1.5 L PDB for 10 days at 30 C and 210 rpm; EtOAc extraction, Sephadex LH-20, preparative and semipreparative RP-HPLC",,none,high,"4.0 g EtOAc extract from 24 L co-culture broth; 3.0 mg Papulacandin G (Wu 2025) from fraction F.2C, RP-HPLC tR 11.2 min",high,needs_review,PAPER-2025-WU,,Natural-product co-culture route. The paper reports richer metabolite profiles in co-culture than in either single-culture control.
ROUTE-2025-WU-003,PAPU-0130,fermentation_isolation,"Co-culture of Pestalotiopsis sp. J025 (GDMCC No. 62822; GenBank MZ326588) and Nigrospora sp. Wn-2-2 (SYSUSZ No. 200901; GenBank MZ326589) isolated from Wikstroemia/Webera nutans stems collected in Guangxi, China",not applicable,"PDA seed cultures 7 days at 30 C; PDB seed cultures 4 days at 30 C and 210 rpm; co-culture fermentation in 16 x 1.5 L PDB for 10 days at 30 C and 210 rpm; EtOAc extraction, Sephadex LH-20, preparative and semipreparative RP-HPLC",,none,high,"4.0 g EtOAc extract from 24 L co-culture broth; 5.0 mg Pestiorosin D from fraction F.2E, RP-HPLC tR 9.0 min",high,needs_review,PAPER-2025-WU,,Natural-product co-culture route. The paper reports richer metabolite profiles in co-culture than in either single-culture control.
ROUTE-2025-WU-004,PAPU-0131,fermentation_isolation,"Co-culture of Pestalotiopsis sp. J025 (GDMCC No. 62822; GenBank MZ326588) and Nigrospora sp. Wn-2-2 (SYSUSZ No. 200901; GenBank MZ326589) isolated from Wikstroemia/Webera nutans stems collected in Guangxi, China",not applicable,"PDA seed cultures 7 days at 30 C; PDB seed cultures 4 days at 30 C and 210 rpm; co-culture fermentation in 16 x 1.5 L PDB for 10 days at 30 C and 210 rpm; EtOAc extraction, Sephadex LH-20, preparative and semipreparative RP-HPLC",,none,high,"4.0 g EtOAc extract from 24 L co-culture broth; 3.0 mg Pestiorosin E from fraction F.2C, RP-HPLC tR 8.5 min",high,needs_review,PAPER-2025-WU,,Natural-product co-culture route. The paper reports richer metabolite profiles in co-culture than in either single-culture control.
ROUTE-2010-DESOUZA-001,PAPU-0136,total_synthesis,peracetylated glucosyl bromide 1; 4-hydroxy-3-methoxybenzaldehyde; side-chain acid 11; D-glucose-derived aryl glucoside intermediates,multi-step,"aryl glycosylation; deacetylation; 4,6-O-benzylidene protection; diester coupling with acid 11; acidic deprotection",,moderate,high,"screenshot excerpt supports route plan and synthesis conclusion, but no detailed yields visible",medium,needs_review,PAPER-2010-DESOUZA,,Thesis excerpt states nine novel Papulacandin D analogs were synthesized; Figure 8 shows 19b as R1=R2=cadeia 11 on the 4-formyl-2-methoxyphenyl series.
ROUTE-2010-DESOUZA-002,PAPU-0137,total_synthesis,peracetylated glucosyl bromide 1; 3-hydroxybenzaldehyde; side-chain acid 11; D-glucose-derived aryl glucoside intermediates,multi-step,"aryl glycosylation; deacetylation; 4,6-O-benzylidene protection; diester coupling with acid 11; acidic deprotection",,moderate,high,"screenshot excerpt supports route plan and synthesis conclusion, but no detailed yields visible",medium,needs_review,PAPER-2010-DESOUZA,,Thesis excerpt states nine novel Papulacandin D analogs were synthesized; Figure 8 shows 20b as R1=R2=cadeia 11 on the 3-formylphenyl series.
ROUTE-2013-BRETAS-001,PAPU-0138,total_synthesis,D-glucose; 4-hydroxy-3-methoxybenzaldehyde; side-chain acid 12; protected glucoside 7,multi-step,EDAC/DMAP coupling of protected glucoside 7 with side-chain acid 12 to give protected C3 ester 8,23,moderate,high,low-yield regioselective esterification; side products 8.1 and 8.2 isolated,medium,needs_review,PAPER-2013-BRETAS,,Screenshot figure reports compound 8 in 23% yield; this protected precursor was also tested biologically.
ROUTE-2013-BRETAS-002,PAPU-0139,total_synthesis,protected glucoside 7; side-chain acid 12,multi-step,DCC/DMAP coupling leading to C2 ester regioisomer 8.1,17,moderate,high,regioisomeric side product from esterification; not an optimized target route,medium,needs_review,PAPER-2013-BRETAS,,Screenshot figure reports C-2 ester 8.1 in 17% yield; biological test was negative to 500 ug/mL.
ROUTE-2013-BRETAS-003,PAPU-0140,total_synthesis,protected glucoside 7; side-chain acid 12,multi-step,"EDAC/DMAP coupling leading to protected 2,3-diester 8.2",20,moderate,high,diester side product from esterification; not an optimized target route,medium,needs_review,PAPER-2013-BRETAS,,Screenshot figure reports diester 8.2 in 20% yield; biological test was negative to 500 ug/mL.
ROUTE-2013-BRETAS-004,PAPU-0125,total_synthesis,protected C3 ester 8,multi-step,"HCl/acetone removal of 4,6-O-benzylidene acetal to afford analog 1",70,moderate,medium,final deprotection yield reported in screenshot; upstream esterification remains low-yielding,medium,needs_review,PAPER-2013-BRETAS,,Thesis screenshot reports analog 1 obtained in 70% yield from protected precursor 8; same final analog later appears as Bretas 2020 compound 1.
